role_name,skills
Data Scientist,"python,sql,machine learning,statistics,data analysis,pandas,numpy"
DevOps Engineer,"aws,docker,kubernetes,ci/cd,automation,linux,terraform"
Backend Developer,"java,python,sql,apis,databases,git,object oriented design"
Frontend Developer,"javascript,html,css,react,ui design,responsive design,git"
Cloud Architect,"aws,azure,cloud computing,networking,terraform,security,automation"
Machine Learning Engineer,"python,machine learning,tensorflow,pytorch,data structures,mathematics,model deployment"
Site Reliability Engineer,"linux,kubernetes,monitoring,automation,incident response,ci/cd,scripting"
Full Stack Developer,"javascript,python,react,sql,apis,git,html,css"
Cybersecurity Analyst,"network security,linux,risk assessment,penetration testing,cryptography,monitoring"
Database Administrator,"sql,database design,backup recovery,performance tuning,security,indexing"
Mobile Developer,"java,kotlin,swift,mobile ui,apis,git,object oriented design"
QA Automation Engineer,"automation,python,selenium,test design,ci/cd,scripting,git"
Data Engineer,"python,sql,etl,data pipelines,big data,airflow,cloud computing"
Systems Administrator,"linux,networking,scripting,monitoring,backup recovery,security"
AI Research Engineer,"python,machine learning,mathematics,research,pytorch,data structures,algorithms"
